算法(end_link->camera)                 x          y          z        rx         ry        rz  四元数姿态(w,x,y,z)                                                                        distance
base_link->marker28  -1.05403      -0.169582     0.696691    1.68798     0.109129     1.66276      [0.4772147592016883, 0.4760463736753441, 0.5757507489678937, 0.4627710003592909]     1.2748
base_link->marker29  -1.04455      -0.171717     0.724453    1.70234     0.080802     1.7347       [0.44915702056550055, 0.46576652188436435, 0.59028093988828, 0.4825846350362522]     1.28274
base_link->marker30  -1.04068      -0.137237     0.753952    1.62725     0.0671342    1.75502      [0.4574690300175024, 0.44647171470953156, 0.5734212303956542, 0.5124189565879763]    1.2924
mean                 -1.04153      -0.160488     0.678243    1.55692     0.0872242    1.69631      1.2536128886088564
var                   4.74262e-05   0.000172812  0.00104855  0.00409847  0.000287336  0.000752327  0.0002861607797019653
std                   0.00688667    0.0131458    0.0323814   0.0640193   0.016951     0.0274286    0.016916287408943055
Park                            x             y            z          rx            ry           rz  四元数姿态(w,x,y,z)                                                                    距离
-------------------  ------------  ------------  -----------  ----------  ------------  -----------  ----------------------------------------------------------------------------------  -------
base_link->marker0   -1.03839      -0.155856     0.653556     1.4841       0.0218069    1.66988      [0.5001820764402127, 0.44762787704998597, 0.5063037682727985, 0.5413904952328253]   1.2368
base_link->marker1   -1.03992      -0.155865     0.654766     1.50761      0.0172025    1.67649      [0.4919509333840283, 0.45303701202978647, 0.5130196166175378, 0.5381009364787431]   1.23872
base_link->marker2   -1.04445      -0.153957     0.641582     1.53614     -0.00365822   1.66716      [0.48256069534637336, 0.4680027738627482, 0.5134673231066464, 0.5333478105938868]   1.2354
base_link->marker3   -1.04222      -0.154425     0.643005     1.5275      -0.00322446   1.66727      [0.4846598688094273, 0.4657714790319267, 0.5112896867341621, 0.5354853846047736]    1.23431
base_link->marker4   -1.03865      -0.15238      0.647294     1.51492     -0.00337258   1.67003      [0.4867979192651027, 0.46205004332829275, 0.5085133405821506, 0.5393994120403461]   1.23329
base_link->marker5   -1.03257      -0.148608     0.645139     1.5691      -0.0162328    1.6275       [0.48185285987326887, 0.48937079706156056, 0.5095749840775001, 0.5183313419210731]  1.22657
base_link->marker6   -1.04527      -0.138864     0.651328     1.50154     -0.00632979   1.63866      [0.49759455845831563, 0.4674362762536717, 0.49689381695621915, 0.5357233593053927]  1.2394
base_link->marker7   -1.04609      -0.136533     0.64593      1.48599     -0.00357127   1.64535      [0.5000909884298214, 0.4611573103929496, 0.49495445800901017, 0.540613561483091]    1.237
base_link->marker8   -1.04681      -0.176215     0.655782     1.58385     -0.00146895   1.69721      [0.4639645449974087, 0.47084666939724634, 0.5336959874295, 0.5274551240669848]      1.24776
base_link->marker9   -1.04322      -0.176118     0.653446     1.58995     -0.00320352   1.68536      [0.46517226422505437, 0.47587447428134916, 0.532088694992849, 0.5234881755913807]   1.24351
base_link->marker10  -1.03183      -0.176064     0.670214     1.61279     -0.00185659   1.65292      [0.4683969195222451, 0.48947856156706737, 0.5304732702986833, 0.5095224951333613]   1.24292
base_link->marker11  -1.04286      -0.177028     0.684318     1.62926     -0.00385583   1.67595      [0.45796375591479255, 0.487638731946428, 0.5398345108744894, 0.5109367536623262]    1.25983
base_link->marker12  -1.0461       -0.154154     0.691876     1.60828      0.0166259    1.65815      [0.47305469642042686, 0.4822922823627697, 0.5349102151575988, 0.5074292761439169]   1.26364
base_link->marker13  -1.03496      -0.157638     0.697971     1.58427      0.0110362    1.65518      [0.4781160276941622, 0.4788183877727724, 0.5267549927549227, 0.5144581549556764]    1.25823
base_link->marker14  -1.03629      -0.161343     0.693565     1.5819       0.00873679   1.68471      [0.47041888844787516, 0.4710334319133303, 0.5326130200110001, 0.5226441871160327]   1.25736
base_link->marker15  -1.05113      -0.146639     0.686645     1.5673       0.0119052    1.66147      [0.4807519491099608, 0.47286771376380615, 0.5240678553271083, 0.5202178118054106]   1.26406
base_link->marker16  -1.04535      -0.142818     0.662204     1.54201     -0.00606053   1.72197      [0.4657942254106567, 0.45578127026651827, 0.527137765990973, 0.5453668021748033]    1.24566
base_link->marker17  -1.04751      -0.149445     0.665884     1.54988      0.00334502   1.65484      [0.48439317925535713, 0.4726447181890185, 0.515899090251844, 0.5251841076577151]    1.2502
base_link->marker18  -1.04845      -0.144172     0.654828     1.52792     -0.0130703    1.68159      [0.47816897470314684, 0.4648395162968428, 0.512343711915073, 0.5410938703971274]    1.24452
base_link->marker19  -1.04636      -0.16416      0.650912     1.59168     -0.00779595   1.70005      [0.45966997648243313, 0.47355716035541034, 0.5349624564824474, 0.527505733382136]   1.24318
base_link->marker20  -1.0419       -0.170038     0.663636     1.56898      0.00449392   1.67763      [0.474197828520522, 0.4709769746594084, 0.5265679957315669, 0.5253981867482351]     1.24695
base_link->marker21  -1.03601      -0.171729     0.664861     1.56122      0.0018162    1.69664      [0.4702826072317107, 0.4648399759262529, 0.5283312795233525, 0.5325637287625232]    1.24292
base_link->marker22  -1.02407      -0.177583     0.694612     1.59081      0.0104538    1.70523      [0.46341383769991046, 0.4671590590600757, 0.5401548171462371, 0.5246358757081531]   1.2501
base_link->marker23  -1.03568      -0.16261      0.721964     1.61042      0.0157771    1.6706       [0.4691476418868864, 0.47967400860501574, 0.5382534670150454, 0.5099966086426972]   1.27291
base_link->marker24  -1.04803      -0.163218     0.709918     1.63653      0.0197365    1.69704      [0.45723378358419464, 0.4774909437681486, 0.5521235798023054, 0.5080346625920047]   1.27632
base_link->marker25  -1.03984      -0.147262     0.699401     1.6404       0.0209548    1.66863      [0.46379071108529585, 0.4858691502322619, 0.5465309389202472, 0.5001332602082452]   1.26179
base_link->marker26  -1.03478      -0.134892     0.689978     1.39921      0.0631162    1.7228       [0.5135314657404916, 0.4009050958533213, 0.504057603649507, 0.5669977689694885]     1.25101
base_link->marker27  -1.03329      -0.168137     0.711248     1.58391     -0.00108687   1.69277      [0.4652256587606892, 0.4719442234380208, 0.5327506130925697, 0.5263178893441276]    1.26564
base_link->marker28  -1.04858      -0.171695     0.715402     1.71096      0.0250717    1.65065      [0.45179590016292875, 0.5059713972849287, 0.5602007856714195, 0.4754455693963618]   1.28094
base_link->marker29  -1.04378      -0.172467     0.719363     1.68924     -0.00561717   1.72246      [0.43101446785442793, 0.4885568760864107, 0.5660355019759276, 0.5051163408876337]   1.27934
base_link->marker30  -1.04251      -0.134458     0.737324     1.60216     -0.0153033    1.73558      [0.445724673643057, 0.4683157616288569, 0.5443872716166959, 0.5344645556231992]     1.28396
mean                 -1.04119      -0.157947     0.676708     1.57064      0.00504422   1.67844      1.2520732413885363
var                   3.73216e-05   0.000177095  0.000745616  0.00374783   0.000237104  0.000665821  0.00023111457163917912
std                   0.00610914    0.0133077    0.027306     0.0612195    0.0153982    0.0258035    0.01520245281654178
Horaud                          x             y            z          rx            ry           rz  四元数姿态(w,x,y,z)                                                                    距离
-------------------  ------------  ------------  -----------  ----------  ------------  -----------  ----------------------------------------------------------------------------------  -------
base_link->marker0   -1.0382       -0.156545     0.654559     1.48633      0.0253278    1.67178      [0.5000386071632104, 0.4467334118586136, 0.5081949637563954, 0.5404891570494964]    1.23726
base_link->marker1   -1.03958      -0.156556     0.656071     1.50987      0.0207092    1.67839      [0.4918147825207164, 0.45214839598230605, 0.5149018289672567, 0.5371742307956534]   1.23922
base_link->marker2   -1.04434      -0.155151     0.64176      1.53663      0.00016713   1.66961      [0.48278109268284375, 0.4664743338294522, 0.5150927057061344, 0.5329198973154051]   1.23554
base_link->marker3   -1.042        -0.15577      0.643351     1.52799      0.000602433  1.66971      [0.4848746762087138, 0.4642417814491016, 0.5129162352826764, 0.5350635965115786]    1.23447
base_link->marker4   -1.03844      -0.153444     0.64762      1.51542      0.000452953  1.67247      [0.48700092468054385, 0.46051983945443165, 0.5101430211159326, 0.5389857835192586]  1.23341
base_link->marker5   -1.03243      -0.149691     0.645042     1.56874     -0.0123884    1.62994      [0.4823009309927657, 0.4876800123386367, 0.5110204882816584, 0.5180850104811702]    1.22654
base_link->marker6   -1.04444      -0.139915     0.651998     1.50067     -0.00262966   1.64119      [0.4980431241547036, 0.4656030070227582, 0.49817734374162703, 0.5357109486617986]   1.23917
base_link->marker7   -1.04521      -0.137967     0.646244     1.48502     -0.000271705  1.64836      [0.5003206866355843, 0.45928013453951333, 0.49621084762089507, 0.5408472642486204]  1.23658
base_link->marker8   -1.04627      -0.176372     0.657        1.58544      0.00241386   1.69902      [0.4641539967263329, 0.4697075646204495, 0.5354380144598887, 0.5265377514789892]    1.24797
base_link->marker9   -1.04283      -0.176623     0.654544     1.59148      0.000697766  1.68717      [0.4653763456303482, 0.4747322249127153, 0.5338278767548588, 0.522572453882297]     1.24383
base_link->marker10  -1.03159      -0.176156     0.671226     1.61406      0.00241653   1.65391      [0.4689707728399901, 0.48842588717515556, 0.532038059737411, 0.5083719799023899]    1.24328
base_link->marker11  -1.04237      -0.176516     0.685544     1.6314       9.09646e-05  1.67675      [0.4583038160411009, 0.4869070780444203, 0.5414845733505103, 0.5095817563216184]    1.26003
base_link->marker12  -1.04622      -0.152873     0.692003     1.60817      0.0211457    1.65751      [0.4744304550830433, 0.48127099777991894, 0.5357788319521917, 0.5061966151778999]   1.26365
base_link->marker13  -1.03501      -0.156112     0.699195     1.58478      0.0155487    1.65471      [0.47928996342700536, 0.4778877312612551, 0.5278380404925188, 0.5131193333690793]   1.25877
base_link->marker14  -1.03666      -0.159744     0.693759     1.58137      0.0132356    1.68414      [0.47187980998064283, 0.469878470812271, 0.5333876194061894, 0.5215757999216918]    1.25757
base_link->marker15  -1.05163      -0.145077     0.686717     1.56627      0.0162837    1.66068      [0.48233428929006034, 0.4716736417914275, 0.5246511039219407, 0.5192483299614489]   1.26434
base_link->marker16  -1.04586      -0.142066     0.660402     1.53899     -0.00269173   1.72142      [0.4675252638188571, 0.4543053571984661, 0.5269761814154421, 0.5452732107234689]    1.24504
base_link->marker17  -1.04802      -0.148547     0.665514     1.54765      0.00726427   1.65414      [0.4861102902349398, 0.47124781895140677, 0.5160928351863038, 0.5246622383311078]   1.25033
base_link->marker18  -1.04903      -0.143315     0.652852     1.52443     -0.0102558    1.68077      [0.47992954107070895, 0.46346004817619607, 0.5118916068062397, 0.5411463778253557]  1.24387
base_link->marker19  -1.04653      -0.164162     0.648868     1.58787     -0.00529278   1.70032      [0.46117310020986274, 0.47195194528383855, 0.5346009800905278, 0.52799860328591]    1.24226
base_link->marker20  -1.0422       -0.169953     0.662134     1.56521      0.00705272   1.67791      [0.47568132998127977, 0.4693335063124587, 0.526246077465903, 0.5258501669786219]    1.24639
base_link->marker21  -1.03629      -0.171638     0.66361      1.5575       0.0044462    1.69693      [0.4717620259559073, 0.46318605022125303, 0.5280239880537962, 0.5330008834759817]   1.24247
base_link->marker22  -1.02341      -0.178577     0.69378      1.58787      0.0130096    1.70758      [0.4641662907042454, 0.4651655472513338, 0.5405150683242567, 0.5253704684683493]    1.24924
base_link->marker23  -1.0343       -0.163863     0.723106     1.60977      0.0192577    1.67347      [0.4694951842792328, 0.47784586505289445, 0.5395751279640514, 0.5099963553527003]   1.2726
base_link->marker24  -1.04773      -0.164765     0.709676     1.63597      0.0232331    1.6999       [0.45758739988905145, 0.47566404024373315, 0.553444674898374, 0.5079926024150533]   1.27614
base_link->marker25  -1.03949      -0.148067     0.69975      1.6406       0.0245417    1.67145      [0.4639990017036012, 0.48422767699839653, 0.548075818905538, 0.4998413548095252]    1.26179
base_link->marker26  -1.03478      -0.135492     0.690185     1.40082      0.0668037    1.72507      [0.513439447856077, 0.3996485744338558, 0.5058537215171569, 0.5663682218887965]     1.25119
base_link->marker27  -1.03284      -0.169309     0.71162      1.58398      0.00253606   1.69554      [0.46544329992075745, 0.4702673360494326, 0.5342666212848682, 0.5260896735203009]   1.26564
base_link->marker28  -1.04866      -0.173205     0.714486     1.70983      0.0285126    1.6534       [0.4523735202681287, 0.5041032084090381, 0.5613770604148601, 0.47549337479286247]   1.28069
base_link->marker29  -1.0436       -0.173861     0.719472     1.68965     -0.00195901   1.72516      [0.4312742643521804, 0.48695891281158027, 0.5675882989188668, 0.5046950059899906]   1.27944
base_link->marker30  -1.04203      -0.135661     0.738943     1.60465     -0.012304     1.73792      [0.4453440419536023, 0.4674406464234114, 0.5462793826483895, 0.5336166812057002]    1.28462
mean                 -1.04103      -0.15829      0.676807     1.57027      0.00864377   1.67988      1.2520429432066127
var                   3.91359e-05   0.000178512  0.000756998  0.00373847   0.000239966  0.000668685  0.00023276302964976385
std                   0.00625587    0.0133608    0.0275136    0.061143     0.0154908    0.0258589    0.015256573325939342
Daniilidis                      x             y            z          rx            ry           rz  四元数姿态(w,x,y,z)                                                                     距离
-------------------  ------------  ------------  -----------  ----------  ------------  -----------  -----------------------------------------------------------------------------------  -------
base_link->marker0   -1.02747      -0.15896      0.651146     1.47961     -0.00356383   1.67191      [0.49431769420773813, 0.45296825061482976, 0.49928811431654463, 0.5487997449255194]  1.22677
base_link->marker1   -1.02889      -0.15942      0.650625     1.50295     -0.00813779   1.67855      [0.4860256051575328, 0.4582663232045754, 0.5060611443933737, 0.5455943605675215]     1.22774
base_link->marker2   -1.03418      -0.149963     0.64357      1.54297     -0.0285442    1.66559      [0.4749125600097396, 0.47660668669080275, 0.5088623144543618, 0.5369946661511273]    1.22727
base_link->marker3   -1.03239      -0.149445     0.64394      1.53433     -0.0281122    1.66571      [0.4770448024309338, 0.47440479962090315, 0.5066744752447585, 0.5391190209088629]    1.22589
base_link->marker4   -1.02878      -0.147647     0.64728      1.52168     -0.0282791    1.66848      [0.4792431292390129, 0.47072540238675914, 0.5038636621950906, 0.5430147590483835]    1.2244
base_link->marker5   -1.02356      -0.142115     0.647866     1.58122     -0.0390169    1.6257       [0.47338591526761686, 0.4984867601887957, 0.5066741940990881, 0.5202864462743177]    1.21968
base_link->marker6   -1.03494      -0.134838     0.646519     1.50871     -0.0311442    1.63951      [0.4894183188671679, 0.47555728691447186, 0.49278453410043876, 0.5398873761917343]   1.22771
base_link->marker7   -1.03678      -0.1314       0.641175     1.49306     -0.0283226    1.6429       [0.49291428677111054, 0.4701366040309273, 0.4900593565867629, 0.5439199449082209]    1.22609
base_link->marker8   -1.03654      -0.173554     0.652833     1.59065     -0.0252044    1.68947      [0.4580203467168454, 0.4806653768079338, 0.5280934275389015, 0.5294293997519242]     1.23723
base_link->marker9   -1.03357      -0.171508     0.651145     1.59702     -0.0268567    1.6776       [0.4591634035047938, 0.48568120447144414, 0.5265179297641533, 0.5254156508345857]    1.23356
base_link->marker10  -1.02324      -0.169686     0.666658     1.62028     -0.0236352    1.64108      [0.4637538306027361, 0.49982678473298625, 0.524305519810617, 0.5101071375318051]     1.23298
base_link->marker11  -1.03443      -0.174341     0.677701     1.62937     -0.0249692    1.66103      [0.45602758875812316, 0.4969864586632639, 0.5312864655934701, 0.5126187566544932]    1.24889
base_link->marker12  -1.03678      -0.150159     0.686744     1.60822     -0.00620882   1.64603      [0.4701197883912109, 0.49132951532027375, 0.5265927661684118, 0.5101791357525786]    1.25263
base_link->marker13  -1.02782      -0.155372     0.688721     1.58382     -0.0114066    1.64236      [0.47566643502844164, 0.48784360353770934, 0.5181880735479316, 0.5169440796714467]   1.24695
base_link->marker14  -1.02654      -0.156015     0.69124      1.5886      -0.0132099    1.6728       [0.4661139031625159, 0.48148382919526667, 0.526379118199627, 0.5232935843534211]     1.24737
base_link->marker15  -1.04264      -0.144744     0.679133     1.56713     -0.0118029    1.65118      [0.4773145617076209, 0.4816909674916496, 0.5158889705976656, 0.5234531412022487]     1.2527
base_link->marker16  -1.03503      -0.136922     0.663784     1.54824     -0.0300864    1.71464      [0.45996208088895446, 0.46560945948381555, 0.52147539758132, 0.547454221922616]      1.23719
base_link->marker17  -1.03945      -0.143918     0.659431     1.55394     -0.0203936    1.64541      [0.4797727341415855, 0.48223622719957954, 0.5089436944269246, 0.5274871189457583]    1.23936
base_link->marker18  -1.0387       -0.136316     0.65873      1.53935     -0.0351123    1.67411      [0.47175496737165634, 0.47530216170947726, 0.5083064852785809, 0.5414421694495187]   1.2375
base_link->marker19  -1.03959      -0.153874     0.649748     1.60158     -0.0301982    1.6916       [0.45346554122558136, 0.4838795829143841, 0.5303245350383943, 0.5281907228415728]    1.23555
base_link->marker20  -1.03129      -0.166851     0.662011     1.5779      -0.0197616    1.67807      [0.4655535482094724, 0.4793063017811731, 0.523275410635542, 0.5288744722962441]      1.23679
